timestamp_ns,velocidad_ms,velocidad_kmh,aceleracion_long_m_s2,freno_presion,freno_activo,soc_bateria,temperatura_c
0,0.2698,0.97,0.0,0.0,False,,22.0
100000000,3.081,11.09,0.036,0.0,True,,22.0
200000000,0.1155,0.42,0.0,0.0,True,,22.0
300000000,8.0002,28.8,0.0,0.0,True,,22.0
600000000,8.0003,28.8,0.0,0.0,False,,22.0
2000000000,0.3478,1.25,0.0,0.0,True,,22.0
4400000000,0.1281,0.46,0.0,0.0,True,,22.0
7000000000,5.166,18.6,-0.0,0.0,False,,22.0
7100000000,1.9971,7.19,0.0,0.0,True,,22.0
7800000000,3.4836,12.54,1.0092,0.0,True,,22.0
10800000000,0.2221,0.8,0.0,0.0,True,,22.0
15600000000,0.1262,0.45,0.0,0.0,True,,22.0
17200000000,0.223,0.8,0.0,0.223,True,,22.0
20800000000,0.1754,0.63,0.0,0.0,False,,22.0
20900000000,0.3969,1.43,0.0,0.0,False,,22.0
21000000000,0.9107,3.28,0.0,0.0,False,,22.0
21200000000,2.0599,7.42,0.0,0.0,False,,22.0
21400000000,4.9502,17.82,0.0,0.0,False,,22.0
21600000000,11.857,42.69,0.0,0.0,False,,22.0
21700000000,24.6299,88.67,0.0,0.0,False,,22.0
33700000000,0.3695,1.33,0.0608,0.0,True,,22.0
34200000000,3.0508,10.98,0.0,0.0,False,,22.0
34900000000,0.1257,0.45,0.0,0.0,False,,22.0
40300000000,0.3548,1.28,0.0,0.3548,True,,22.0
40400000000,7.9572,28.65,0.0,0.0,False,,22.0
41100000000,1.8359,6.61,-0.5117,0.0,False,,22.0
41700000000,1.8437,6.64,-2.0469,0.0,True,,22.0
47300000000,1.8594,6.69,-2.0469,0.0,False,,22.0
50200000000,0.1132,0.41,0.0,0.0,False,,22.0
50500000000,0.2556,0.92,0.0,0.0,False,,22.0
50600000000,0.591,2.13,0.0,0.0,False,,22.0
50700000000,1.3904,5.01,0.0,0.0,False,,22.0
50900000000,3.1928,11.49,0.0,0.0,False,,22.0
51000000000,7.1768,25.84,0.0,0.0,False,,22.0
51200000000,16.1652,58.19,0.0,0.0,False,,22.0
51300000000,38.2467,137.69,0.0,0.0,False,,22.0
51800000000,8.1409,29.31,0.0,0.0005,True,,22.0
52900000000,0.25,0.9,0.0,0.0,False,,22.0
53000000000,0.2,0.72,0.0,0.0,True,,22.0
53100000000,2.0,7.2,0.0,0.0,True,,22.0
53200000000,0.25,0.9,-2.0,0.0,True,,22.0
53300000000,2.0,7.2,1.0,0.0,False,,22.0
53400000000,1.0,3.6,0.0,0.0,True,,22.0
53500000000,2.0,7.2,1.5,0.0,True,,22.0
53600000000,0.1,0.36,0.05,1.0,True,,22.0
58200000000,1.2538,4.51,-0.0,0.0,True,,22.0
58800000000,7.9259,28.53,0.0,0.0,True,,22.0
59400000000,8.0466,28.97,0.0,0.0,True,,22.0
59600000000,0.5029,1.81,0.0,0.0,True,,22.0
60000000000,0.5126,1.85,0.0,0.5126,True,,22.0
60400000000,0.5127,1.85,0.0,0.5127,True,,22.0
60800000000,8.2043,29.54,0.0,0.0,False,,22.0
62100000000,48.7583,175.53,-0.0,0.0,False,,22.0
74400000000,0.4934,1.78,0.0,0.0,True,,22.0
78200000000,0.173,0.62,0.0,0.0,False,,22.0
78500000000,0.3979,1.43,0.0,0.0,False,,22.0
78600000000,0.8944,3.22,0.0,0.0,False,,22.0
78800000000,2.0097,7.23,0.0,0.0,False,,22.0
79000000000,4.8595,17.49,0.0,0.0,False,,22.0
79100000000,11.2708,40.57,0.0,0.0,False,,22.0
79200000000,26.9036,96.85,0.0,0.0,False,,22.0
83500000000,0.9192,3.31,0.0,0.0,True,,22.0
84900000000,0.9933,3.58,0.0,0.0,True,,22.0
89900000000,0.1229,0.44,0.0,0.0,True,,22.0
92700000000,0.2308,0.83,0.0,0.0,True,,22.0
98900000000,0.2042,0.73,0.0,0.0,True,,22.0
100600000000,6.6331,23.88,-0.6709,0.0,True,,22.0
105800000000,1.8828,6.78,-0.1279,0.0,False,,22.0
110200000000,0.8864,3.19,-0.0,0.8864,True,,22.0
110400000000,1.1088,3.99,-0.0,0.0,True,,22.0
111400000000,1.8203,6.55,-0.0005,0.0,False,,22.0
112100000000,8.0464,28.97,0.0,0.0,False,,22.0
114100000000,1.6661,6.0,-0.1667,0.0,False,,22.0
116100000000,0.1161,0.42,0.0,0.0,False,,22.0
116200000000,0.2614,0.94,0.0,0.0,False,,22.0
116300000000,0.6252,2.25,0.0,0.0,False,,22.0
116400000000,1.4232,5.12,0.0,0.0,False,,22.0
116600000000,3.3737,12.15,0.0,0.0,False,,22.0
116800000000,7.1074,25.59,0.0,0.0,False,,22.0
116900000000,15.7743,56.79,0.0,0.0,False,,22.0
117200000000,38.3492,138.06,0.0,0.0,False,,22.0
119000000000,0.117,0.42,0.0,0.117,True,,22.0
120200000000,29.1732,105.02,-0.0,0.0,True,,22.0
124900000000,7.7169,27.78,-0.0,0.0,False,,22.0
125300000000,0.5165,1.86,0.0,0.5165,True,,22.0
126000000000,8.2661,29.76,0.0,0.0,True,,22.0
126500000000,0.5166,1.86,0.0,0.5166,True,,22.0
127000000000,8.2659,29.76,0.0,0.0,True,,22.0
137100000000,0.2366,0.85,0.0,0.0,True,,22.0
137400000000,7.7697,27.97,0.0,0.0,True,,22.0
137800000000,0.3667,1.32,0.0,0.0,True,,22.0
143300000000,0.9455,3.4,0.0,0.9455,True,,22.0
143600000000,1.9346,6.96,0.0,0.0,True,,22.0
144500000000,2.082,7.5,0.0,0.0,True,,22.0
145900000000,33.3145,119.93,0.0,0.0,True,,22.0
148200000000,0.1796,0.65,0.0,0.0,False,,22.0
148300000000,0.4014,1.44,0.0,0.0,False,,22.0
148600000000,0.9133,3.29,0.0,0.0,False,,22.0
148900000000,2.0817,7.49,0.0,0.0,False,,22.0
149100000000,5.0277,18.1,0.0,0.0,False,,22.0
149200000000,11.7013,42.12,0.0,0.0,False,,22.0
149300000000,26.3758,94.95,0.0,0.0,False,,22.0
152400000000,0.1708,0.61,-0.0,0.0,True,,22.0
153500000000,8.0015,28.81,0.0,0.0,False,,22.0
153900000000,8.0034,28.81,0.0,0.0,False,,22.0
154200000000,8.0037,28.81,0.0,0.0,False,,22.0
154800000000,8.0039,28.81,0.0,0.0,False,,22.0
155100000000,8.0042,28.82,0.0,0.0,False,,22.0
155500000000,8.0044,28.82,0.0,0.0,True,,22.0
155600000000,8.0047,28.82,0.0,0.0,False,,22.0
156000000000,8.0049,28.82,0.0,0.0,False,,22.0
156300000000,2.6758,9.63,0.0,0.0,False,,22.0
157800000000,8.0052,28.82,0.0,0.0,False,,22.0
158000000000,8.0051,28.82,0.0,0.0,False,,22.0
158600000000,8.0054,28.82,0.0,0.0,False,,22.0
159500000000,8.0056,28.82,0.0,0.0,False,,22.0
159700000000,8.0057,28.82,0.0,0.0,False,,22.0
164300000000,8.0059,28.82,0.0,0.0,False,,22.0
167200000000,0.1301,0.47,0.0,0.1301,True,,22.0
169800000000,8.0035,28.81,0.0,0.0,False,,22.0
169900000000,8.0032,28.81,0.0,0.0,False,,22.0
170200000000,8.0027,28.81,0.0,0.0,False,,22.0
170400000000,8.0022,28.81,0.0,0.0,False,,22.0
170600000000,8.0012,28.8,0.0,0.0,False,,22.0
170800000000,8.0005,28.8,0.0,0.0,True,,22.0
175600000000,0.2159,0.78,-0.0,0.2159,True,,22.0
176200000000,0.1206,0.43,0.0,0.0,False,,22.0
176300000000,0.1217,0.44,0.0,0.0,False,,22.0
176500000000,0.2773,1.0,0.0,0.0,False,,22.0
176600000000,0.6443,2.32,0.0,0.0,False,,22.0
176700000000,1.4959,5.39,0.0,0.0,False,,22.0
176900000000,3.092,11.13,0.0,0.0,False,,22.0
177000000000,7.5905,27.33,0.0,0.0,False,,22.0
177100000000,15.9546,57.44,0.0,0.0,False,,22.0
177200000000,38.0787,137.08,0.0,0.0,False,,22.0
177600000000,0.119,0.43,0.0,0.0,True,,22.0
180400000000,14.9312,53.75,-0.0,0.0,True,,22.0
186600000000,27.5868,99.31,0.0,0.0,True,,22.0
188300000000,7.5822,27.3,0.0,0.0,True,,22.0
189100000000,0.2493,0.9,0.0,0.0,False,,22.0
191000000000,0.3292,1.19,0.0,0.0,True,,22.0
198000000000,1.6172,5.82,-0.0,0.0,False,,22.0
198600000000,4.0098,14.44,0.0,0.0,True,,22.0
201800000000,0.1541,0.55,-0.0,0.1541,True,,22.0
203500000000,19.1714,69.02,-0.0,0.0,True,,22.0
208900000000,1.6875,6.07,-0.0,0.0,False,,22.0
211000000000,0.1832,0.66,0.0,0.0,False,,22.0
211100000000,0.1857,0.67,0.0,0.0,False,,22.0
211300000000,0.4172,1.5,0.0,0.0,False,,22.0
211700000000,2.0687,7.45,0.0,0.0,False,,22.0
212100000000,4.9847,17.94,0.0,0.0,False,,22.0
212200000000,11.7252,42.21,0.0,0.0,False,,22.0
212500000000,26.7871,96.43,0.0,0.0,False,,22.0
213300000000,1.7734,6.38,-0.0,0.0,False,,22.0
213500000000,0.9515,3.43,0.0,0.0,True,,22.0
215700000000,20.8006,74.88,0.0,0.0,True,,22.0
239000000000,0.9267,3.34,0.0,0.0,True,,22.0
243500000000,5.1742,18.63,-0.0,0.0,False,,22.0
244500000000,0.4047,1.46,-0.0,0.0,True,,22.0
245100000000,3.6761,13.23,-0.0,0.0,True,,22.0
249600000000,22.6518,81.55,-1.6909,0.0001,True,,22.0
253000000000,0.2745,0.99,0.0,0.0,False,,22.0
253100000000,0.2796,1.01,0.0,0.0,False,,22.0
253300000000,0.6465,2.33,0.0,0.0,False,,22.0
